country,SUBJECT,TIME,Value
CZE,PRIV,2005,18.68526
CZE,PRIV,2008,20.47261
CZE,PRIV,2009,19.69213
CZE,PRIV,2010,20.35206
CZE,PRIV,2011,18.67314
CZE,PRIV,2012,17.79853
CZE,PRIV,2013,19.3127
CZE,PRIV,2014,19.94233
CZE,PRIV,2015,19.90946
CZE,PRIV,2016,23.61025
CZE,PRIV,2017,23.05993
CZE,PRIV,2018,17.45396
FRA,PRIV,2005,16.26365
FRA,PRIV,2008,18.0832
FRA,PRIV,2009,16.76697
FRA,PRIV,2010,17.84518
FRA,PRIV,2011,18.86265
FRA,PRIV,2012,19.83084
FRA,PRIV,2013,20.777
FRA,PRIV,2014,20.9831
FRA,PRIV,2015,20.30006
FRA,PRIV,2016,21.26572
FRA,PRIV,2017,21.14615
FRA,PRIV,2018,21.69225
USA,PUB,1995,38.64353
USA,PUB,2000,43.74466
USA,PUB,2005,41.96656
USA,PUB,2008,41.32191
USA,PUB,2009,40.64556
USA,PUB,2010,39.98513
USA,PUB,2011,39.0803
USA,PUB,2012,37.80208
USA,PUB,2013,36.32563
USA,PUB,2014,34.74318
USA,PUB,2015,35.20469
USA,PUB,2016,35.03867
USA,PUB,2017,35.1278
USA,PUB,2018,35.64267
ARG,PUB,2008,81.09927
ARG,PUB,2009,84.09077
ARG,PUB,2010,77.20074
ARG,PUB,2011,76.94389
CHL,PRIV,1995,74.88832
CHL,PRIV,2000,80.5287
CHL,PRIV,2005,84.53828
CHL,PRIV,2008,85.57634
CHL,PRIV,2009,85.36354
CHL,PRIV,2010,76.58141
CHL,PRIV,2011,77.89084
CHL,PRIV,2012,75.80744
CHL,PRIV,2013,65.44393
CHL,PRIV,2014,62.49564
CHL,PRIV,2015,64.33884
CHL,PRIV,2016,69.00725
CHL,PRIV,2017,62.21087
CHL,PRIV,2018,58.71172
RUS,PUB,2008,64.1348
RUS,PUB,2009,64.37958
RUS,PUB,2010,63.82924
RUS,PUB,2011,63.71851
RUS,PUB,2012,63.1897
RUS,PUB,2013,64.50631
RUS,PUB,2014,65.51982
RUS,PUB,2015,63.90124
RUS,PUB,2016,63.77616
RUS,PUB,2017,60.37347
RUS,PUB,2018,65.29711
JPN,PUB,2005,32.24158
JPN,PUB,2010,34.35134
JPN,PUB,2011,31.65347
JPN,PUB,2012,32.58126
JPN,PUB,2013,34.52237
JPN,PUB,2014,33.79136
JPN,PUB,2015,32.06198
JPN,PUB,2016,30.55597
JPN,PUB,2017,31.23126
JPN,PUB,2018,32.13429
MEX,PUB,1995,77.38743
MEX,PUB,2000,79.39841
MEX,PUB,2005,68.97909
MEX,PUB,2008,70.13445
MEX,PUB,2009,68.68877
MEX,PUB,2010,69.88416
MEX,PUB,2011,67.06262
MEX,PUB,2013,70.32203
MEX,PUB,2014,71.18258
MEX,PUB,2015,70.86375
MEX,PUB,2016,69.09693
MEX,PUB,2017,69.75447
MEX,PUB,2018,57.56574
NLD,PRIV,1995,21.40595
NLD,PRIV,2000,24.6314
NLD,PRIV,2005,26.55629
NLD,PRIV,2008,27.89629
NLD,PRIV,2009,28.33198
NLD,PRIV,2010,27.54234
NLD,PRIV,2011,28.47914
NLD,PRIV,2012,28.70036
NLD,PRIV,2013,28.83123
NLD,PRIV,2014,29.16881
NLD,PRIV,2015,29.26961
NLD,PRIV,2016,29.41216
NLD,PRIV,2017,29.77915
NLD,PRIV,2018,28.87443
NOR,PUB,1995,93.71006
NOR,PUB,2000,96.30037
NOR,PUB,2008,96.89123
NOR,PUB,2009,96.09732
NOR,PUB,2010,96.00083
NOR,PUB,2011,95.89608
NOR,PUB,2013,96.04375
NOR,PUB,2014,96.28214
NOR,PUB,2015,95.97607
NOR,PUB,2016,93.06007
NOR,PUB,2017,91.60162
NOR,PUB,2018,92.33887
POL,PRIV,2005,26.01591
POL,PRIV,2008,30.11058
POL,PRIV,2009,29.94855
POL,PRIV,2010,28.46649
POL,PRIV,2011,25.69029
POL,PRIV,2012,21.521
POL,PRIV,2013,18.97096
POL,PRIV,2014,17.89529
POL,PRIV,2015,16.17551
POL,PRIV,2016,18.39708
POL,PRIV,2017,18.51311
POL,PRIV,2018,19.94572
SVK,PUB,1995,94.64008
SVK,PUB,2000,89.44973
SVK,PUB,2005,75.94156
SVK,PUB,2008,70.07291
SVK,PUB,2009,66.59057
SVK,PUB,2010,68.81232
SVK,PUB,2011,75.45825
SVK,PUB,2012,72.46904
SVK,PUB,2013,75.50173
SVK,PUB,2014,75.53856
SVK,PUB,2015,78.7356
SVK,PUB,2016,69.50237
SVK,PUB,2017,68.20238
SVK,PUB,2018,68.20345
ESP,PRIV,1995,25.62449
ESP,PRIV,2000,25.58532
ESP,PRIV,2005,22.09943
ESP,PRIV,2008,21.1356
ESP,PRIV,2009,20.91216
ESP,PRIV,2010,21.77982
ESP,PRIV,2011,22.53126
ESP,PRIV,2012,26.53737
ESP,PRIV,2013,30.24183
ESP,PRIV,2014,31.10311
ESP,PRIV,2015,31.79837
ESP,PRIV,2016,32.86374
ESP,PRIV,2017,32.20274
ESP,PRIV,2018,33.70243
TUR,PRIV,2011,22.05655
TUR,PRIV,2012,24.57339
TUR,PRIV,2013,25.71068
TUR,PRIV,2014,25.98817
TUR,PRIV,2015,25.98145
TUR,PRIV,2016,25.37253
TUR,PRIV,2017,19.71197
TUR,PRIV,2018,27.18224
IND,PRIV,2000,0.2234778
IND,PRIV,2005,19.07814
ISR,PUB,1995,59.21798
ISR,PUB,2000,60.05169
ISR,PUB,2005,53.06464
